sample_accession,alias,run_accession,experiment_accession,_,code,codeID,part1,part2
SAMEA115940987,ITS_blanco_1,ERR13576985,ERX12946888,ITS,blanco,1,bl,anco
SAMEA115940988,ITS_Bm1a_2,ERR13576986,ERX12946889,ITS,Bm1a,2,Bm,1a
SAMEA115940989,ITS_Bm1b_3,ERR13576987,ERX12946890,ITS,Bm1b,3,Bm,1b
SAMEA115940991,ITS_Bm2b_5,ERR13576989,ERX12946892,ITS,Bm2b,5,Bm,2b
SAMEA115940992,ITS_Bm3b_6,ERR13576990,ERX12946893,ITS,Bm3b,6,Bm,3b
SAMEA115940993,ITS_Bm4a_7,ERR13576991,ERX12946894,ITS,Bm4a,7,Bm,4a
SAMEA115940996,ITS_Bm5b_10,ERR13576994,ERX12946897,ITS,Bm5b,10,Bm,5b
SAMEA115940998,ITS_Bm8a_12,ERR13576996,ERX12946899,ITS,Bm8a,12,Bm,8a
SAMEA115941005,ITS_Bm11b_19,ERR13577003,ERX12946906,ITS,Bm11b,19,Bm,11b
SAMEA115941006,ITS_Bm12a_20,ERR13577004,ERX12946907,ITS,Bm12a,20,Bm,12a
SAMEA115941010,ITS_cc14_24,ERR13577008,ERX12946911,ITS,cc14,24,cc,14
SAMEA115941011,ITS_cc17p_25,ERR13577009,ERX12946912,ITS,cc17p,25,cc,17p
SAMEA115941019,ITS_Mb4b_33,ERR13577017,ERX12946920,ITS,Mb4b,33,Mb,4b
SAMEA115941022,ITS_Mb6a_36,ERR13577020,ERX12946923,ITS,Mb6a,36,Mb,6a
SAMEA115941024,ITS_Mb7a_38,ERR13577022,ERX12946925,ITS,Mb7a,38,Mb,7a
SAMEA115941025,ITS_Mb7b_39,ERR13577023,ERX12946926,ITS,Mb7b,39,Mb,7b
SAMEA115941028,ITS_Mn1a_42,ERR13577026,ERX12946929,ITS,Mn1a,42,Mn,1a
SAMEA115941031,ITS_Mn2b_45,ERR13577029,ERX12946932,ITS,Mn2b,45,Mn,2b
SAMEA115941042,ITS_Mn9b_56,ERR13577040,ERX12946943,ITS,Mn9b,56,Mn,9b
SAMEA115941044,ITS_Mn11a_58,ERR13577042,ERX12946945,ITS,Mn11a,58,Mn,11a
SAMEA115941046,ITS_Mn12a_60,ERR13577044,ERX12946947,ITS,Mn12a,60,Mn,12a
SAMEA115941047,ITS_Mn12b_61,ERR13577045,ERX12946948,ITS,Mn12b,61,Mn,12b
SAMEA115941048,ITS_Mock_62,ERR13577046,ERX12946949,ITS,Mock,62,Mo,ck
SAMEA115941050,ITS_Mp1b_64,ERR13577048,ERX12946951,ITS,Mp1b,64,Mp,1b
SAMEA115941051,ITS_Mp2a_65,ERR13577049,ERX12946952,ITS,Mp2a,65,Mp,2a
SAMEA115941054,ITS_Mp4a_68,ERR13577052,ERX12946955,ITS,Mp4a,68,Mp,4a
SAMEA115941055,ITS_Mp4b_69,ERR13577053,ERX12946956,ITS,Mp4b,69,Mp,4b
SAMEA115941059,ITS_Mp7b_73,ERR13577057,ERX12946960,ITS,Mp7b,73,Mp,7b
SAMEA115941060,ITS_Mp8a_74,ERR13577058,ERX12946961,ITS,Mp8a,74,Mp,8a
SAMEA115941061,ITS_Mp8b_75,ERR13577059,ERX12946962,ITS,Mp8b,75,Mp,8b
SAMEA115941065,ITS_Mp11a_79,ERR13577063,ERX12946966,ITS,Mp11a,79,Mp,11a
SAMEA115941068,ITS_Mp12b_82,ERR13577066,ERX12946969,ITS,Mp12b,82,Mp,12b
SAMEA115941072,ITS_REFNSsoil4_86,ERR13577070,ERX12946973,ITS,REFNSsoil4,86,RE,FNSsoil4
SAMEA115941073,ITS_REstersoil_87,ERR13577071,ERX12946974,ITS,REstersoil,87,RE,stersoil
SAMEA115941075,16S_Bm1a_2,ERR13577078,ERX12946981,16S,Bm1a,2,Bm,1a
SAMEA115941077,16S_Bm2a_4,ERR13577080,ERX12946983,16S,Bm2a,4,Bm,2a
SAMEA115941080,16S_Bm4a_7,ERR13577083,ERX12946986,16S,Bm4a,7,Bm,4a
SAMEA115941081,16S_Bm4b_8,ERR13577084,ERX12946987,16S,Bm4b,8,Bm,4b
SAMEA115941087,16S_Bm9a_14,ERR13577090,ERX12946993,16S,Bm9a,14,Bm,9a
SAMEA115941088,16S_Bm9b_15,ERR13577091,ERX12946994,16S,Bm9b,15,Bm,9b
SAMEA115941100,16S_Mb1b_27,ERR13577098,ERX12947001,16S,Mb1b,27,Mb,1b
SAMEA115941101,16S_Mb2a_28,ERR13577099,ERX12947002,16S,Mb2a,28,Mb,2a
SAMEA115941108,16S_Mb5b_35,ERR13577106,ERX12947009,16S,Mb5b,35,Mb,5b
SAMEA115941133,16S_Mn12a_60,ERR13577116,ERX12947019,16S,Mn12a,60,Mn,12a
SAMEA115941134,16S_Mn12b_61,ERR13577117,ERX12947020,16S,Mn12b,61,Mn,12b
SAMEA115941118,16S_Mn2b_45,ERR13577121,ERX12947024,16S,Mn2b,45,Mn,2b
SAMEA115941120,16S_Mn4a_47,ERR13577123,ERX12947026,16S,Mn4a,47,Mn,4a
SAMEA115941122,16S_Mn5a_49,ERR13577125,ERX12947028,16S,Mn5a,49,Mn,5a
SAMEA115941126,16S_Mn8a_53,ERR13577129,ERX12947032,16S,Mn8a,53,Mn,8a
SAMEA115941127,16S_Mn8b_54,ERR13577130,ERX12947033,16S,Mn8b,54,Mn,8b
SAMEA115941154,16S_Mp12a_81,ERR13577137,ERX12947040,16S,Mp12a,81,Mp,12a
SAMEA115941139,16S_Mp2b_66,ERR13577142,ERX12947045,16S,Mp2b,66,Mp,2b
SAMEA115941142,16S_Mp4b_69,ERR13577145,ERX12947048,16S,Mp4b,69,Mp,4b
SAMEA115941150,16S_Mp9b_77,ERR13577153,ERX12947056,16S,Mp9b,77,Mp,9b
SAMEA115941160,16S_REstersoil_87,ERR13577158,ERX12947061,16S,REstersoil,87,RE,stersoil
SAMEA115940990,ITS_Bm2a_4,ERR13576988,ERX12946891,ITS,Bm2a,4,Bm,2a
SAMEA115940995,ITS_Bm5a_9,ERR13576993,ERX12946896,ITS,Bm5a,9,Bm,5a
SAMEA115940999,ITS_Bm8b_13,ERR13576997,ERX12946900,ITS,Bm8b,13,Bm,8b
SAMEA115941000,ITS_Bm9a_14,ERR13576998,ERX12946901,ITS,Bm9a,14,Bm,9a
SAMEA115941003,ITS_Bm10b_17,ERR13577001,ERX12946904,ITS,Bm10b,17,Bm,10b
SAMEA115941004,ITS_Bm11a_18,ERR13577002,ERX12946905,ITS,Bm11a,18,Bm,11a
SAMEA115941007,ITS_Bm12b_21,ERR13577005,ERX12946908,ITS,Bm12b,21,Bm,12b
SAMEA115941013,ITS_Mb1b_27,ERR13577011,ERX12946914,ITS,Mb1b,27,Mb,1b
SAMEA115941018,ITS_Mb4a_32,ERR13577016,ERX12946919,ITS,Mb4a,32,Mb,4a
SAMEA115941020,ITS_Mb5a_34,ERR13577018,ERX12946921,ITS,Mb5a,34,Mb,5a
SAMEA115941021,ITS_Mb5b_35,ERR13577019,ERX12946922,ITS,Mb5b,35,Mb,5b
SAMEA115941027,ITS_Mb8b_41,ERR13577025,ERX12946928,ITS,Mb8b,41,Mb,8b
SAMEA115941032,ITS_Mn3b_46,ERR13577030,ERX12946933,ITS,Mn3b,46,Mn,3b
SAMEA115941033,ITS_Mn4a_47,ERR13577031,ERX12946934,ITS,Mn4a,47,Mn,4a
SAMEA115941034,ITS_Mn4b_48,ERR13577032,ERX12946935,ITS,Mn4b,48,Mn,4b
SAMEA115941035,ITS_Mn5a_49,ERR13577033,ERX12946936,ITS,Mn5a,49,Mn,5a
SAMEA115941036,ITS_Mn5b_50,ERR13577034,ERX12946937,ITS,Mn5b,50,Mn,5b
SAMEA115941039,ITS_Mn8a_53,ERR13577037,ERX12946940,ITS,Mn8a,53,Mn,8a
SAMEA115941049,ITS_Mp1a_63,ERR13577047,ERX12946950,ITS,Mp1a,63,Mp,1a
SAMEA115941053,ITS_Mp3b_67,ERR13577051,ERX12946954,ITS,Mp3b,67,Mp,3b
SAMEA115941056,ITS_Mp5s_70,ERR13577054,ERX12946957,ITS,Mp5s,70,Mp,5s
SAMEA115941057,ITS_Mp5b_71,ERR13577055,ERX12946958,ITS,Mp5b,71,Mp,5b
SAMEA115941058,ITS_Mp6b_72,ERR13577056,ERX12946959,ITS,Mp6b,72,Mp,6b
SAMEA115941067,ITS_Mp12a_81,ERR13577065,ERX12946968,ITS,Mp12a,81,Mp,12a
SAMEA115941069,ITS_REFnon-soil1_83,ERR13577067,ERX12946970,ITS,REFnon-soil1,83,RE,Fnon-soil1
SAMEA115941070,ITS_REFNSsoil2_84,ERR13577068,ERX12946971,ITS,REFNSsoil2,84,RE,FNSsoil2
SAMEA115941071,ITS_REFNSsoil3_85,ERR13577069,ERX12946972,ITS,REFNSsoil3,85,RE,FNSsoil3
SAMEA115941074,16S_blanco_1,ERR13577072,ERX12946975,16S,blanco,1,bl,anco
SAMEA115941090,16S_Bm10b_17,ERR13577073,ERX12946976,16S,Bm10b,17,Bm,10b
SAMEA115941092,16S_Bm11b_19,ERR13577075,ERX12946978,16S,Bm11b,19,Bm,11b
SAMEA115941094,16S_Bm12b_21,ERR13577077,ERX12946980,16S,Bm12b,21,Bm,12b
SAMEA115941078,16S_Bm2b_5,ERR13577081,ERX12946984,16S,Bm2b,5,Bm,2b
SAMEA115941082,16S_Bm5a_9,ERR13577085,ERX12946988,16S,Bm5a,9,Bm,5a
SAMEA115941084,16S_Bm6b_11,ERR13577087,ERX12946990,16S,Bm6b,11,Bm,6b
SAMEA115941086,16S_Bm8b_13,ERR13577089,ERX12946992,16S,Bm8b,13,Bm,8b
SAMEA115941089,16S_Bm10b_16,ERR13577092,ERX12946995,16S,Bm10b,16,Bm,10b
SAMEA115941097,16S_cc14_24,ERR13577093,ERX12946996,16S,cc14,24,cc,14
SAMEA115941096,16S_cc4p_23,ERR13577096,ERX12946999,16S,cc4p,23,cc,4p
SAMEA115941099,16S_Mb1a_26,ERR13577097,ERX12947000,16S,Mb1a,26,Mb,1a
SAMEA115941102,16S_Mb2b_29,ERR13577100,ERX12947003,16S,Mb2b,29,Mb,2b
SAMEA115941103,16S_Mb3a_30,ERR13577101,ERX12947004,16S,Mb3a,30,Mb,3a
SAMEA115941105,16S_Mb4a_32,ERR13577103,ERX12947006,16S,Mb4a,32,Mb,4a
SAMEA115941106,16S_Mb4b_33,ERR13577104,ERX12947007,16S,Mb4b,33,Mb,4b
SAMEA115941107,16S_Mb5a_34,ERR13577105,ERX12947008,16S,Mb5a,34,Mb,5a
SAMEA115941109,16S_Mb6a_36,ERR13577107,ERX12947010,16S,Mb6a,36,Mb,6a
SAMEA115941110,16S_Mb6b_37,ERR13577108,ERX12947011,16S,Mb6b,37,Mb,6b
SAMEA115941114,16S_Mb8b_41,ERR13577112,ERX12947015,16S,Mb8b,41,Mb,8b
SAMEA115941130,16S_Mn10b_57,ERR13577113,ERX12947016,16S,Mn10b,57,Mn,10b
SAMEA115941115,16S_Mn1a_42,ERR13577118,ERX12947021,16S,Mn1a,42,Mn,1a
SAMEA115941116,16S_Mn1b_43,ERR13577119,ERX12947022,16S,Mn1b,43,Mn,1b
SAMEA115941124,16S_Mn6b_51,ERR13577127,ERX12947030,16S,Mn6b,51,Mn,6b
SAMEA115941135,16S_Mock_62,ERR13577133,ERX12947036,16S,Mock,62,Mo,ck
SAMEA115941152,16S_Mp11a_79,ERR13577135,ERX12947038,16S,Mp11a,79,Mp,11a
SAMEA115941155,16S_Mp12b_82,ERR13577138,ERX12947041,16S,Mp12b,82,Mp,12b
SAMEA115941137,16S_Mp1b_64,ERR13577140,ERX12947043,16S,Mp1b,64,Mp,1b
SAMEA115941140,16S_Mp3b_67,ERR13577143,ERX12947046,16S,Mp3b,67,Mp,3b
SAMEA115941156,16S_REFnon-soil1_83,ERR13577154,ERX12947057,16S,REFnon-soil1,83,RE,Fnon-soil1
SAMEA115941157,16S_REFNSsoil2_84,ERR13577155,ERX12947058,16S,REFNSsoil2,84,RE,FNSsoil2
SAMEA115941158,16S_REFNSsoil3_85,ERR13577156,ERX12947059,16S,REFNSsoil3,85,RE,FNSsoil3
SAMEA115941159,16S_REFNSsoil4_86,ERR13577157,ERX12947060,16S,REFNSsoil4,86,RE,FNSsoil4
SAMEA115940994,ITS_Bm4b_8,ERR13576992,ERX12946895,ITS,Bm4b,8,Bm,4b
SAMEA115940997,ITS_Bm6b_11,ERR13576995,ERX12946898,ITS,Bm6b,11,Bm,6b
SAMEA115941001,ITS_Bm9b_15,ERR13576999,ERX12946902,ITS,Bm9b,15,Bm,9b
SAMEA115941002,ITS_Bm10b_16,ERR13577000,ERX12946903,ITS,Bm10b,16,Bm,10b
SAMEA115941008,ITS_cc3_22,ERR13577006,ERX12946909,ITS,cc3,22,cc,3
SAMEA115941009,ITS_cc4p_23,ERR13577007,ERX12946910,ITS,cc4p,23,cc,4p
SAMEA115941012,ITS_Mb1a_26,ERR13577010,ERX12946913,ITS,Mb1a,26,Mb,1a
SAMEA115941014,ITS_Mb2a_28,ERR13577012,ERX12946915,ITS,Mb2a,28,Mb,2a
SAMEA115941015,ITS_Mb2b_29,ERR13577013,ERX12946916,ITS,Mb2b,29,Mb,2b
SAMEA115941016,ITS_Mb3a_30,ERR13577014,ERX12946917,ITS,Mb3a,30,Mb,3a
SAMEA115941017,ITS_Mb3b_31,ERR13577015,ERX12946918,ITS,Mb3b,31,Mb,3b
SAMEA115941023,ITS_Mb6b_37,ERR13577021,ERX12946924,ITS,Mb6b,37,Mb,6b
SAMEA115941026,ITS_Mb8a_40,ERR13577024,ERX12946927,ITS,Mb8a,40,Mb,8a
SAMEA115941029,ITS_Mn1b_43,ERR13577027,ERX12946930,ITS,Mn1b,43,Mn,1b
SAMEA115941030,ITS_Mn2a_44,ERR13577028,ERX12946931,ITS,Mn2a,44,Mn,2a
SAMEA115941037,ITS_Mn6b_51,ERR13577035,ERX12946938,ITS,Mn6b,51,Mn,6b
SAMEA115941038,ITS_Mn7b_52,ERR13577036,ERX12946939,ITS,Mn7b,52,Mn,7b
SAMEA115941040,ITS_Mn8b_54,ERR13577038,ERX12946941,ITS,Mn8b,54,Mn,8b
SAMEA115941041,ITS_Mn9a_55,ERR13577039,ERX12946942,ITS,Mn9a,55,Mn,9a
SAMEA115941043,ITS_Mn10b_57,ERR13577041,ERX12946944,ITS,Mn10b,57,Mn,10b
SAMEA115941045,ITS_Mn11b_59,ERR13577043,ERX12946946,ITS,Mn11b,59,Mn,11b
SAMEA115941052,ITS_Mp2b_66,ERR13577050,ERX12946953,ITS,Mp2b,66,Mp,2b
SAMEA115941062,ITS_Mp9a_76,ERR13577060,ERX12946963,ITS,Mp9a,76,Mp,9a
SAMEA115941063,ITS_Mp9b_77,ERR13577061,ERX12946964,ITS,Mp9b,77,Mp,9b
SAMEA115941064,ITS_Mp10b_78,ERR13577062,ERX12946965,ITS,Mp10b,78,Mp,10b
SAMEA115941066,ITS_Mp11b_80,ERR13577064,ERX12946967,ITS,Mp11b,80,Mp,11b
SAMEA115941091,16S_Bm11a_18,ERR13577074,ERX12946977,16S,Bm11a,18,Bm,11a
SAMEA115941093,16S_Bm12a_20,ERR13577076,ERX12946979,16S,Bm12a,20,Bm,12a
SAMEA115941076,16S_Bm1b_3,ERR13577079,ERX12946982,16S,Bm1b,3,Bm,1b
SAMEA115941079,16S_Bm3b_6,ERR13577082,ERX12946985,16S,Bm3b,6,Bm,3b
SAMEA115941083,16S_Bm5b_10,ERR13577086,ERX12946989,16S,Bm5b,10,Bm,5b
SAMEA115941085,16S_Bm8a_12,ERR13577088,ERX12946991,16S,Bm8a,12,Bm,8a
SAMEA115941098,16S_cc17p_25,ERR13577094,ERX12946997,16S,cc17p,25,cc,17p
SAMEA115941095,16S_cc3_22,ERR13577095,ERX12946998,16S,cc3,22,cc,3
SAMEA115941104,16S_Mb3b_31,ERR13577102,ERX12947005,16S,Mb3b,31,Mb,3b
SAMEA115941111,16S_Mb7a_38,ERR13577109,ERX12947012,16S,Mb7a,38,Mb,7a
SAMEA115941112,16S_Mb7b_39,ERR13577110,ERX12947013,16S,Mb7b,39,Mb,7b
SAMEA115941113,16S_Mb8a_40,ERR13577111,ERX12947014,16S,Mb8a,40,Mb,8a
SAMEA115941131,16S_Mn11a_58,ERR13577114,ERX12947017,16S,Mn11a,58,Mn,11a
SAMEA115941132,16S_Mn11b_59,ERR13577115,ERX12947018,16S,Mn11b,59,Mn,11b
SAMEA115941117,16S_Mn2a_44,ERR13577120,ERX12947023,16S,Mn2a,44,Mn,2a
SAMEA115941119,16S_Mn3b_46,ERR13577122,ERX12947025,16S,Mn3b,46,Mn,3b
SAMEA115941121,16S_Mn4b_48,ERR13577124,ERX12947027,16S,Mn4b,48,Mn,4b
SAMEA115941123,16S_Mn5b_50,ERR13577126,ERX12947029,16S,Mn5b,50,Mn,5b
SAMEA115941125,16S_Mn7b_52,ERR13577128,ERX12947031,16S,Mn7b,52,Mn,7b
SAMEA115941128,16S_Mn9a_55,ERR13577131,ERX12947034,16S,Mn9a,55,Mn,9a
SAMEA115941129,16S_Mn9b_56,ERR13577132,ERX12947035,16S,Mn9b,56,Mn,9b
SAMEA115941151,16S_Mp10b_78,ERR13577134,ERX12947037,16S,Mp10b,78,Mp,10b
SAMEA115941153,16S_Mp11b_80,ERR13577136,ERX12947039,16S,Mp11b,80,Mp,11b
SAMEA115941136,16S_Mp1a_63,ERR13577139,ERX12947042,16S,Mp1a,63,Mp,1a
SAMEA115941138,16S_Mp2a_65,ERR13577141,ERX12947044,16S,Mp2a,65,Mp,2a
SAMEA115941141,16S_Mp4a_68,ERR13577144,ERX12947047,16S,Mp4a,68,Mp,4a
SAMEA115941143,16S_Mp5s_70,ERR13577146,ERX12947049,16S,Mp5s,70,Mp,5s
SAMEA115941144,16S_Mp5b_71,ERR13577147,ERX12947050,16S,Mp5b,71,Mp,5b
SAMEA115941145,16S_Mp6b_72,ERR13577148,ERX12947051,16S,Mp6b,72,Mp,6b
SAMEA115941146,16S_Mp7b_73,ERR13577149,ERX12947052,16S,Mp7b,73,Mp,7b
SAMEA115941147,16S_Mp8a_74,ERR13577150,ERX12947053,16S,Mp8a,74,Mp,8a
SAMEA115941148,16S_Mp8b_75,ERR13577151,ERX12947054,16S,Mp8b,75,Mp,8b
SAMEA115941149,16S_Mp9a_76,ERR13577152,ERX12947055,16S,Mp9a,76,Mp,9a
